production_process,raw_material,process_stage,material_category,production_quantity,material_quantity,waste_type
Finishing & Grinding,Zinc Coating Material,Casting,Coating Material,72.77,93.84,Steel Scrap
Continuous Casting,Coke,Melting,Fuel/Reductant,104.6,64.75,Mill Scale
Continuous Casting,Zinc Coating Material,Casting,Ferrous Metal,82.84,80.94,Mill Scale
Cold Rolling,Limestone,Casting,Flux Material,61.34,41.33,Pickling Sludge
Basic Oxygen Furnace,Limestone,Melting,Coating Material,127.73,145.99,Steel Scrap
Finishing & Grinding,Iron Ore,Coating,Ferrous Metal,104.35,77.49,Pickling Sludge
Cold Rolling,Limestone,Melting,Non-Ferrous Metal,34.95,35.1,Pickling Sludge
Forging,Alloy Additives,Rolling,Non-Ferrous Metal,92.37,107.01,Steel Scrap
Basic Oxygen Furnace,Limestone,Casting,Non-Ferrous Metal,115.36,81.97,Waste Gas Sludge
Cold Rolling,Iron Ore,Refining,Coating Material,78.33,90.49,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Coating,Fuel/Reductant,118.38,93.97,Steel Scrap
Finishing & Grinding,Limestone,Melting,Ferrous Metal,70.62,49.33,Mill Scale
Electric Arc Furnace,Coke,Coating,Non-Ferrous Metal,66.94,70.82,Mill Scale
Hot Rolling,Zinc Coating Material,Casting,Flux Material,67.88,61.65,Mill Scale
Cold Rolling,Iron Ore,Melting,Ferrous Metal,61.34,71.31,Pickling Sludge
Galvanizing,Limestone,Finishing,Non-Ferrous Metal,92.48,118.1,Zinc Ash
Galvanizing,Iron Ore,Refining,Fuel/Reductant,94.82,99.02,Zinc Ash
Continuous Casting,Iron Ore,Finishing,Ferrous Metal,83.4,101.53,Steel Scrap
Galvanizing,Zinc Coating Material,Finishing,Ferrous Metal,49.22,48.82,Zinc Ash
Electric Arc Furnace,Alloy Additives,Melting,Ferrous Metal,76.21,84.1,Blast Furnace Slag
Forging,Limestone,Rolling,Ferrous Metal,59.36,69.65,Steel Scrap
Continuous Casting,Iron Ore,Finishing,Ferrous Metal,108.13,118.64,Mill Scale
Cold Rolling,Alloy Additives,Coating,Non-Ferrous Metal,74.61,68.75,Pickling Sludge
Basic Oxygen Furnace,Coke,Melting,Ferrous Metal,32.55,30.79,Blast Furnace Slag
Cold Rolling,Alloy Additives,Refining,Flux Material,68.42,75.15,Mill Scale
Electric Arc Furnace,Alloy Additives,Rolling,Non-Ferrous Metal,125.6,84.21,Steel Scrap
Hot Rolling,Scrap Steel,Melting,Ferrous Metal,66.37,60.74,Pickling Sludge
Finishing & Grinding,Iron Ore,Melting,Coating Material,71.16,75.13,Steel Scrap
Cold Rolling,Zinc Coating Material,Refining,Fuel/Reductant,41.49,38.58,Steel Scrap
Finishing & Grinding,Scrap Steel,Melting,Non-Ferrous Metal,137.6,143.64,Pickling Sludge
Galvanizing,Zinc Coating Material,Casting,Fuel/Reductant,99.0,106.96,Pickling Sludge
Electric Arc Furnace,Scrap Steel,Refining,Non-Ferrous Metal,59.79,43.19,EAF Dust
Cold Rolling,Zinc Coating Material,Melting,Flux Material,71.44,56.83,Steel Scrap
Forging,Limestone,Rolling,Flux Material,105.13,114.16,Mill Scale
Finishing & Grinding,Limestone,Finishing,Non-Ferrous Metal,32.92,20.52,Steel Scrap
Electric Arc Furnace,Iron Ore,Melting,Fuel/Reductant,89.57,94.69,Waste Gas Sludge
Finishing & Grinding,Iron Ore,Coating,Fuel/Reductant,113.54,88.81,Mill Scale
Continuous Casting,Limestone,Rolling,Ferrous Metal,111.13,118.85,Refractory Waste
Basic Oxygen Furnace,Coke,Finishing,Flux Material,54.95,50.68,Blast Furnace Slag
Hot Rolling,Zinc Coating Material,Casting,Coating Material,90.47,88.9,Mill Scale
Basic Oxygen Furnace,Limestone,Finishing,Non-Ferrous Metal,94.36,84.53,Blast Furnace Slag
Forging,Iron Ore,Coating,Coating Material,82.75,92.51,Steel Scrap
Continuous Casting,Alloy Additives,Rolling,Fuel/Reductant,77.32,62.21,Refractory Waste
Finishing & Grinding,Coke,Refining,Flux Material,100.96,113.86,Mill Scale
Forging,Limestone,Refining,Ferrous Metal,120.84,146.33,Steel Scrap
Finishing & Grinding,Scrap Steel,Rolling,Fuel/Reductant,67.54,73.79,Steel Scrap
Electric Arc Furnace,Scrap Steel,Rolling,Fuel/Reductant,56.45,34.36,EAF Dust
Basic Oxygen Furnace,Alloy Additives,Coating,Flux Material,88.32,71.62,Refractory Waste
Finishing & Grinding,Coke,Casting,Ferrous Metal,39.58,44.34,Pickling Sludge
Galvanizing,Alloy Additives,Coating,Coating Material,115.97,142.88,Zinc Ash
Finishing & Grinding,Scrap Steel,Melting,Non-Ferrous Metal,101.23,123.97,Steel Scrap
Cold Rolling,Alloy Additives,Coating,Flux Material,121.32,79.5,EAF Dust
Finishing & Grinding,Iron Ore,Finishing,Fuel/Reductant,114.01,114.92,Steel Scrap
Hot Rolling,Scrap Steel,Rolling,Non-Ferrous Metal,63.86,76.57,Mill Scale
Galvanizing,Scrap Steel,Rolling,Ferrous Metal,61.4,62.58,Waste Gas Sludge
Basic Oxygen Furnace,Limestone,Rolling,Coating Material,86.29,57.44,Refractory Waste
Finishing & Grinding,Scrap Steel,Coating,Ferrous Metal,94.82,115.23,Mill Scale
Finishing & Grinding,Alloy Additives,Refining,Coating Material,110.04,105.88,Steel Scrap
Basic Oxygen Furnace,Limestone,Finishing,Coating Material,35.37,40.38,Steel Scrap
Forging,Limestone,Coating,Non-Ferrous Metal,62.73,76.83,Steel Scrap
Cold Rolling,Limestone,Refining,Non-Ferrous Metal,184.51,187.13,Pickling Sludge
Cold Rolling,Zinc Coating Material,Coating,Flux Material,51.13,39.18,Mill Scale
Hot Rolling,Iron Ore,Refining,Coating Material,54.98,51.76,Steel Scrap
Continuous Casting,Zinc Coating Material,Finishing,Non-Ferrous Metal,86.08,108.92,Steel Scrap
Galvanizing,Zinc Coating Material,Melting,Flux Material,149.51,156.07,Pickling Sludge
Forging,Zinc Coating Material,Finishing,Coating Material,108.74,84.61,Steel Scrap
Electric Arc Furnace,Alloy Additives,Melting,Ferrous Metal,70.25,49.04,Steel Scrap
Hot Rolling,Coke,Refining,Flux Material,28.03,35.88,Steel Scrap
Electric Arc Furnace,Zinc Coating Material,Casting,Non-Ferrous Metal,77.38,79.51,Waste Gas Sludge
Basic Oxygen Furnace,Alloy Additives,Finishing,Coating Material,30.48,22.7,Refractory Waste
Forging,Iron Ore,Coating,Flux Material,77.89,58.68,Refractory Waste
Forging,Limestone,Finishing,Flux Material,85.25,57.6,Pickling Sludge
Hot Rolling,Alloy Additives,Rolling,Non-Ferrous Metal,129.9,124.56,Pickling Sludge
Galvanizing,Alloy Additives,Coating,Coating Material,66.0,82.65,Zinc Ash
Hot Rolling,Coke,Rolling,Non-Ferrous Metal,60.1,40.85,Pickling Sludge
Continuous Casting,Zinc Coating Material,Coating,Ferrous Metal,78.25,74.74,Mill Scale
Cold Rolling,Iron Ore,Refining,Coating Material,84.34,109.22,Waste Gas Sludge
Continuous Casting,Scrap Steel,Refining,Flux Material,129.51,102.61,Steel Scrap
Cold Rolling,Limestone,Coating,Coating Material,44.69,55.21,Pickling Sludge
Galvanizing,Alloy Additives,Refining,Non-Ferrous Metal,34.42,35.3,Zinc Ash
Continuous Casting,Limestone,Coating,Coating Material,122.32,143.71,Steel Scrap
Hot Rolling,Zinc Coating Material,Casting,Flux Material,67.07,70.12,Mill Scale
Finishing & Grinding,Alloy Additives,Finishing,Ferrous Metal,90.28,61.4,Steel Scrap
Hot Rolling,Zinc Coating Material,Coating,Coating Material,64.88,59.65,Zinc Ash
Forging,Scrap Steel,Rolling,Flux Material,57.07,64.25,Steel Scrap
Galvanizing,Alloy Additives,Coating,Fuel/Reductant,74.51,48.89,Zinc Ash
Hot Rolling,Coke,Coating,Ferrous Metal,104.62,112.47,Pickling Sludge
Electric Arc Furnace,Zinc Coating Material,Melting,Non-Ferrous Metal,79.13,80.36,Steel Scrap
Forging,Scrap Steel,Refining,Coating Material,92.6,102.49,Mill Scale
Forging,Zinc Coating Material,Melting,Non-Ferrous Metal,115.08,141.75,Steel Scrap
Electric Arc Furnace,Scrap Steel,Melting,Ferrous Metal,87.1,52.97,EAF Dust
Basic Oxygen Furnace,Alloy Additives,Refining,Flux Material,61.08,49.26,Blast Furnace Slag
Forging,Limestone,Casting,Ferrous Metal,220.97,151.61,Steel Scrap
Electric Arc Furnace,Zinc Coating Material,Finishing,Coating Material,68.81,57.82,EAF Dust
Electric Arc Furnace,Zinc Coating Material,Melting,Flux Material,119.35,129.46,Waste Gas Sludge
Cold Rolling,Alloy Additives,Melting,Flux Material,139.75,149.68,Steel Scrap
Forging,Zinc Coating Material,Melting,Fuel/Reductant,55.56,50.7,Steel Scrap
Forging,Alloy Additives,Casting,Non-Ferrous Metal,51.6,60.67,Steel Scrap
Galvanizing,Scrap Steel,Coating,Coating Material,35.18,30.25,Refractory Waste
Basic Oxygen Furnace,Coke,Refining,Flux Material,62.57,68.45,Blast Furnace Slag
Continuous Casting,Iron Ore,Refining,Non-Ferrous Metal,54.41,49.04,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Finishing,Coating Material,149.66,183.04,Refractory Waste
Finishing & Grinding,Zinc Coating Material,Coating,Ferrous Metal,55.0,57.86,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Finishing,Coating Material,70.55,59.15,Blast Furnace Slag
Continuous Casting,Zinc Coating Material,Finishing,Non-Ferrous Metal,79.73,85.63,Mill Scale
Hot Rolling,Coke,Rolling,Fuel/Reductant,61.98,53.01,Mill Scale
Continuous Casting,Alloy Additives,Coating,Flux Material,172.0,161.66,Refractory Waste
Continuous Casting,Scrap Steel,Casting,Non-Ferrous Metal,69.54,66.33,Refractory Waste
Forging,Coke,Casting,Non-Ferrous Metal,81.41,50.61,Mill Scale
Finishing & Grinding,Limestone,Rolling,Flux Material,100.47,71.54,Mill Scale
Basic Oxygen Furnace,Iron Ore,Finishing,Coating Material,35.49,24.18,Blast Furnace Slag
Continuous Casting,Alloy Additives,Refining,Flux Material,72.94,59.79,Refractory Waste
Basic Oxygen Furnace,Scrap Steel,Coating,Ferrous Metal,93.84,120.94,Waste Gas Sludge
Hot Rolling,Scrap Steel,Coating,Flux Material,121.53,154.68,Mill Scale
Finishing & Grinding,Zinc Coating Material,Refining,Flux Material,41.02,40.16,Steel Scrap
Cold Rolling,Iron Ore,Rolling,Coating Material,42.21,41.69,Mill Scale
Electric Arc Furnace,Zinc Coating Material,Refining,Coating Material,154.44,140.28,Steel Scrap
Continuous Casting,Limestone,Refining,Non-Ferrous Metal,94.26,73.67,Steel Scrap
Continuous Casting,Zinc Coating Material,Finishing,Fuel/Reductant,47.44,46.98,Waste Gas Sludge
Hot Rolling,Scrap Steel,Casting,Flux Material,57.7,58.07,Mill Scale
Galvanizing,Limestone,Rolling,Fuel/Reductant,79.01,74.45,Zinc Ash
Basic Oxygen Furnace,Zinc Coating Material,Coating,Flux Material,51.25,66.4,Waste Gas Sludge
Continuous Casting,Limestone,Finishing,Fuel/Reductant,95.85,99.15,Mill Scale
Basic Oxygen Furnace,Alloy Additives,Casting,Fuel/Reductant,121.33,106.36,Refractory Waste
Forging,Coke,Casting,Fuel/Reductant,83.93,63.74,Mill Scale
Electric Arc Furnace,Alloy Additives,Refining,Fuel/Reductant,66.3,81.99,EAF Dust
Cold Rolling,Iron Ore,Refining,Non-Ferrous Metal,94.85,65.58,Pickling Sludge
Basic Oxygen Furnace,Zinc Coating Material,Refining,Fuel/Reductant,165.11,113.49,Waste Gas Sludge
Finishing & Grinding,Zinc Coating Material,Rolling,Fuel/Reductant,63.38,79.91,Steel Scrap
Forging,Scrap Steel,Refining,Ferrous Metal,120.15,111.0,Steel Scrap
Continuous Casting,Zinc Coating Material,Coating,Ferrous Metal,84.52,85.54,Refractory Waste
Continuous Casting,Coke,Refining,Coating Material,99.72,79.78,Blast Furnace Slag
Electric Arc Furnace,Zinc Coating Material,Finishing,Flux Material,109.95,105.32,Waste Gas Sludge
Finishing & Grinding,Limestone,Refining,Non-Ferrous Metal,61.64,61.89,Pickling Sludge
Continuous Casting,Alloy Additives,Finishing,Coating Material,135.16,135.36,Mill Scale
Galvanizing,Limestone,Coating,Coating Material,73.53,54.44,Zinc Ash
Continuous Casting,Scrap Steel,Melting,Non-Ferrous Metal,133.79,86.12,Steel Scrap
Forging,Iron Ore,Coating,Ferrous Metal,77.91,71.2,Steel Scrap
Electric Arc Furnace,Alloy Additives,Coating,Ferrous Metal,198.5,121.76,EAF Dust
Electric Arc Furnace,Zinc Coating Material,Finishing,Fuel/Reductant,92.05,99.54,Steel Scrap
Electric Arc Furnace,Zinc Coating Material,Coating,Fuel/Reductant,123.72,100.16,EAF Dust
Forging,Coke,Coating,Coating Material,130.69,152.01,Steel Scrap
Finishing & Grinding,Iron Ore,Melting,Flux Material,56.9,34.49,Mill Scale
Cold Rolling,Iron Ore,Melting,Ferrous Metal,62.84,67.48,Mill Scale
Electric Arc Furnace,Limestone,Finishing,Non-Ferrous Metal,67.27,75.11,Steel Scrap
Galvanizing,Scrap Steel,Refining,Fuel/Reductant,119.4,133.53,Pickling Sludge
Forging,Alloy Additives,Casting,Coating Material,100.95,107.11,Steel Scrap
Hot Rolling,Limestone,Coating,Coating Material,65.51,78.1,Mill Scale
Finishing & Grinding,Coke,Casting,Coating Material,60.45,39.56,Steel Scrap
Continuous Casting,Zinc Coating Material,Melting,Non-Ferrous Metal,92.79,82.12,Steel Scrap
Continuous Casting,Scrap Steel,Refining,Coating Material,78.36,91.35,Steel Scrap
Electric Arc Furnace,Iron Ore,Rolling,Ferrous Metal,66.88,43.51,Refractory Waste
Finishing & Grinding,Alloy Additives,Rolling,Ferrous Metal,86.08,56.28,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Melting,Fuel/Reductant,108.64,125.61,Refractory Waste
Cold Rolling,Zinc Coating Material,Coating,Ferrous Metal,78.76,69.47,Steel Scrap
Finishing & Grinding,Limestone,Melting,Non-Ferrous Metal,87.98,67.1,Pickling Sludge
Cold Rolling,Iron Ore,Melting,Coating Material,120.13,106.14,Mill Scale
Continuous Casting,Zinc Coating Material,Melting,Flux Material,64.43,53.16,EAF Dust
Basic Oxygen Furnace,Coke,Rolling,Flux Material,41.0,52.7,Steel Scrap
Hot Rolling,Alloy Additives,Melting,Ferrous Metal,80.36,68.34,Pickling Sludge
Galvanizing,Coke,Casting,Non-Ferrous Metal,57.99,55.22,Pickling Sludge
Forging,Alloy Additives,Melting,Flux Material,97.53,98.52,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Casting,Flux Material,63.87,49.14,Refractory Waste
Cold Rolling,Alloy Additives,Coating,Flux Material,91.93,108.09,Mill Scale
Finishing & Grinding,Iron Ore,Casting,Fuel/Reductant,93.73,65.61,Mill Scale
Electric Arc Furnace,Limestone,Melting,Flux Material,143.89,113.67,EAF Dust
Hot Rolling,Zinc Coating Material,Finishing,Non-Ferrous Metal,34.9,36.32,Waste Gas Sludge
Galvanizing,Alloy Additives,Coating,Ferrous Metal,84.0,94.42,Pickling Sludge
Cold Rolling,Scrap Steel,Rolling,Flux Material,64.54,70.66,Pickling Sludge
Finishing & Grinding,Coke,Casting,Non-Ferrous Metal,85.55,101.59,Pickling Sludge
Hot Rolling,Limestone,Finishing,Non-Ferrous Metal,57.88,49.32,Mill Scale
Cold Rolling,Iron Ore,Refining,Non-Ferrous Metal,131.86,156.9,Steel Scrap
Galvanizing,Iron Ore,Melting,Ferrous Metal,127.22,114.97,Waste Gas Sludge
Finishing & Grinding,Alloy Additives,Melting,Coating Material,63.43,54.81,Pickling Sludge
Galvanizing,Alloy Additives,Casting,Fuel/Reductant,82.68,86.23,Waste Gas Sludge
Cold Rolling,Limestone,Refining,Coating Material,177.21,106.87,Pickling Sludge
Continuous Casting,Scrap Steel,Coating,Fuel/Reductant,105.04,134.06,Steel Scrap
Galvanizing,Limestone,Finishing,Non-Ferrous Metal,59.05,74.73,Zinc Ash
Finishing & Grinding,Coke,Finishing,Ferrous Metal,52.61,60.36,Steel Scrap
Basic Oxygen Furnace,Coke,Casting,Coating Material,128.67,81.54,Refractory Waste
Cold Rolling,Iron Ore,Casting,Fuel/Reductant,100.41,90.66,Steel Scrap
Continuous Casting,Limestone,Rolling,Non-Ferrous Metal,80.62,60.16,Steel Scrap
Galvanizing,Limestone,Casting,Fuel/Reductant,44.06,50.11,Zinc Ash
Hot Rolling,Scrap Steel,Finishing,Flux Material,43.79,51.48,Waste Gas Sludge
Forging,Iron Ore,Refining,Non-Ferrous Metal,71.61,66.64,Refractory Waste
Finishing & Grinding,Iron Ore,Finishing,Coating Material,103.42,77.67,Mill Scale
Finishing & Grinding,Coke,Casting,Coating Material,124.6,86.67,Blast Furnace Slag
Continuous Casting,Scrap Steel,Refining,Flux Material,156.01,174.27,Steel Scrap
Finishing & Grinding,Zinc Coating Material,Casting,Flux Material,129.46,142.31,Steel Scrap
Cold Rolling,Coke,Melting,Fuel/Reductant,44.9,54.92,Pickling Sludge
Hot Rolling,Alloy Additives,Coating,Coating Material,57.33,38.87,Mill Scale
Galvanizing,Coke,Finishing,Coating Material,43.88,34.55,Zinc Ash
Basic Oxygen Furnace,Limestone,Coating,Flux Material,41.34,28.4,Blast Furnace Slag
Continuous Casting,Zinc Coating Material,Casting,Fuel/Reductant,50.6,47.82,Steel Scrap
Basic Oxygen Furnace,Scrap Steel,Refining,Flux Material,115.96,70.38,Blast Furnace Slag
Cold Rolling,Zinc Coating Material,Casting,Coating Material,24.72,31.5,Mill Scale
Finishing & Grinding,Coke,Finishing,Coating Material,179.33,204.76,Mill Scale
Continuous Casting,Iron Ore,Melting,Non-Ferrous Metal,92.96,89.7,Refractory Waste
Basic Oxygen Furnace,Iron Ore,Refining,Fuel/Reductant,76.79,47.02,Blast Furnace Slag
Finishing & Grinding,Alloy Additives,Melting,Ferrous Metal,92.05,105.05,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Casting,Coating Material,28.82,17.32,Blast Furnace Slag
Forging,Coke,Refining,Non-Ferrous Metal,94.46,99.42,Mill Scale
Continuous Casting,Iron Ore,Coating,Non-Ferrous Metal,111.25,97.74,Mill Scale
Galvanizing,Limestone,Rolling,Coating Material,111.54,72.05,Waste Gas Sludge
Continuous Casting,Zinc Coating Material,Coating,Non-Ferrous Metal,61.13,68.66,Steel Scrap
Forging,Alloy Additives,Finishing,Coating Material,59.6,38.17,Steel Scrap
Hot Rolling,Scrap Steel,Rolling,Flux Material,105.66,90.44,Mill Scale
Cold Rolling,Scrap Steel,Melting,Coating Material,86.86,64.02,Steel Scrap
Galvanizing,Coke,Rolling,Coating Material,97.68,98.15,Zinc Ash
Finishing & Grinding,Coke,Melting,Fuel/Reductant,54.21,63.31,Mill Scale
Electric Arc Furnace,Alloy Additives,Casting,Non-Ferrous Metal,46.56,36.41,EAF Dust
Forging,Iron Ore,Refining,Fuel/Reductant,154.72,192.2,Mill Scale
Basic Oxygen Furnace,Limestone,Finishing,Non-Ferrous Metal,75.95,83.2,Steel Scrap
Cold Rolling,Coke,Finishing,Coating Material,34.86,24.51,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Refining,Flux Material,51.74,50.23,Blast Furnace Slag
Finishing & Grinding,Coke,Finishing,Coating Material,79.56,75.62,Steel Scrap
Continuous Casting,Scrap Steel,Coating,Ferrous Metal,67.45,78.57,Mill Scale
Cold Rolling,Iron Ore,Finishing,Fuel/Reductant,93.28,91.66,Mill Scale
Continuous Casting,Scrap Steel,Rolling,Non-Ferrous Metal,66.42,60.57,Mill Scale
Finishing & Grinding,Coke,Rolling,Ferrous Metal,82.07,52.11,Steel Scrap
Continuous Casting,Scrap Steel,Casting,Fuel/Reductant,102.02,129.81,Mill Scale
Hot Rolling,Coke,Rolling,Ferrous Metal,98.95,125.27,Mill Scale
Hot Rolling,Limestone,Rolling,Non-Ferrous Metal,86.72,78.56,Waste Gas Sludge
Basic Oxygen Furnace,Alloy Additives,Finishing,Non-Ferrous Metal,97.41,63.43,Blast Furnace Slag
Cold Rolling,Coke,Refining,Ferrous Metal,90.94,105.02,Mill Scale
Basic Oxygen Furnace,Coke,Rolling,Flux Material,86.49,109.03,Blast Furnace Slag
Hot Rolling,Scrap Steel,Refining,Fuel/Reductant,85.96,97.14,Mill Scale
Cold Rolling,Alloy Additives,Melting,Fuel/Reductant,107.11,100.02,Steel Scrap
Finishing & Grinding,Zinc Coating Material,Coating,Non-Ferrous Metal,55.08,58.75,Steel Scrap
Continuous Casting,Limestone,Melting,Coating Material,118.25,117.72,Mill Scale
Electric Arc Furnace,Scrap Steel,Casting,Non-Ferrous Metal,84.77,51.4,Refractory Waste
Continuous Casting,Limestone,Refining,Flux Material,153.88,192.09,Blast Furnace Slag
Galvanizing,Limestone,Finishing,Non-Ferrous Metal,109.48,90.34,Zinc Ash
Continuous Casting,Coke,Melting,Fuel/Reductant,47.25,52.46,Refractory Waste
Finishing & Grinding,Iron Ore,Coating,Non-Ferrous Metal,79.62,74.57,Mill Scale
Finishing & Grinding,Coke,Coating,Coating Material,57.48,39.26,Steel Scrap
Finishing & Grinding,Coke,Casting,Coating Material,60.71,78.64,Refractory Waste
Continuous Casting,Scrap Steel,Coating,Flux Material,40.44,45.81,Refractory Waste
Basic Oxygen Furnace,Zinc Coating Material,Coating,Fuel/Reductant,45.47,56.51,Blast Furnace Slag
Continuous Casting,Alloy Additives,Casting,Flux Material,39.64,39.8,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Finishing,Ferrous Metal,135.06,134.36,Blast Furnace Slag
Continuous Casting,Scrap Steel,Refining,Ferrous Metal,65.56,69.47,Steel Scrap
Forging,Zinc Coating Material,Rolling,Coating Material,62.08,41.67,Mill Scale
Electric Arc Furnace,Coke,Refining,Coating Material,65.39,49.34,Mill Scale
Finishing & Grinding,Scrap Steel,Rolling,Ferrous Metal,92.87,117.51,Steel Scrap
Forging,Coke,Finishing,Ferrous Metal,78.41,71.01,Mill Scale
Electric Arc Furnace,Zinc Coating Material,Melting,Flux Material,106.16,84.69,EAF Dust
Basic Oxygen Furnace,Scrap Steel,Finishing,Non-Ferrous Metal,218.02,267.26,Steel Scrap
Hot Rolling,Alloy Additives,Finishing,Non-Ferrous Metal,146.0,138.45,Steel Scrap
Basic Oxygen Furnace,Zinc Coating Material,Coating,Flux Material,71.33,72.31,Steel Scrap
Forging,Scrap Steel,Refining,Non-Ferrous Metal,66.81,49.77,Steel Scrap
Continuous Casting,Alloy Additives,Coating,Fuel/Reductant,53.37,34.6,Blast Furnace Slag
Galvanizing,Coke,Rolling,Fuel/Reductant,85.4,99.71,Pickling Sludge
Hot Rolling,Alloy Additives,Coating,Non-Ferrous Metal,112.94,94.03,Mill Scale
Cold Rolling,Coke,Rolling,Fuel/Reductant,127.67,90.15,Steel Scrap
Cold Rolling,Alloy Additives,Melting,Coating Material,114.28,111.69,Pickling Sludge
Electric Arc Furnace,Coke,Refining,Non-Ferrous Metal,66.14,45.6,Pickling Sludge
Continuous Casting,Scrap Steel,Melting,Fuel/Reductant,38.3,22.98,Mill Scale
Galvanizing,Alloy Additives,Refining,Non-Ferrous Metal,112.11,143.63,Zinc Ash
Forging,Alloy Additives,Refining,Ferrous Metal,22.47,18.27,Mill Scale
Continuous Casting,Limestone,Finishing,Coating Material,53.27,59.16,Refractory Waste
Cold Rolling,Scrap Steel,Finishing,Coating Material,60.96,46.15,Pickling Sludge
Galvanizing,Coke,Rolling,Fuel/Reductant,136.3,122.1,Waste Gas Sludge
Hot Rolling,Zinc Coating Material,Finishing,Coating Material,117.8,97.5,Pickling Sludge
Forging,Scrap Steel,Casting,Coating Material,119.72,102.92,Steel Scrap
Continuous Casting,Coke,Coating,Non-Ferrous Metal,107.42,125.11,Mill Scale
Forging,Limestone,Coating,Coating Material,148.5,97.26,Steel Scrap
Cold Rolling,Limestone,Refining,Non-Ferrous Metal,37.19,40.78,Pickling Sludge
Electric Arc Furnace,Alloy Additives,Rolling,Flux Material,103.33,130.87,EAF Dust
Continuous Casting,Iron Ore,Rolling,Coating Material,66.25,52.05,Mill Scale
Hot Rolling,Alloy Additives,Coating,Coating Material,39.96,45.21,Mill Scale
Forging,Coke,Finishing,Coating Material,116.57,111.87,Steel Scrap
Forging,Coke,Casting,Non-Ferrous Metal,26.33,31.05,Steel Scrap
Electric Arc Furnace,Coke,Refining,Flux Material,90.73,99.81,Steel Scrap
Finishing & Grinding,Alloy Additives,Refining,Fuel/Reductant,117.6,130.57,Steel Scrap
Hot Rolling,Zinc Coating Material,Casting,Non-Ferrous Metal,82.38,65.23,Steel Scrap
Basic Oxygen Furnace,Zinc Coating Material,Melting,Non-Ferrous Metal,67.26,56.16,Refractory Waste
Cold Rolling,Scrap Steel,Casting,Ferrous Metal,105.78,126.89,Pickling Sludge
Galvanizing,Iron Ore,Finishing,Coating Material,128.66,162.49,Zinc Ash
Cold Rolling,Alloy Additives,Rolling,Coating Material,123.07,106.62,Mill Scale
Electric Arc Furnace,Limestone,Coating,Coating Material,102.27,88.88,EAF Dust
Cold Rolling,Iron Ore,Finishing,Coating Material,67.3,79.91,Pickling Sludge
Electric Arc Furnace,Scrap Steel,Rolling,Flux Material,82.87,90.61,Steel Scrap
Galvanizing,Scrap Steel,Melting,Flux Material,102.3,100.51,Waste Gas Sludge
Hot Rolling,Limestone,Coating,Ferrous Metal,167.91,121.82,Pickling Sludge
Basic Oxygen Furnace,Iron Ore,Refining,Coating Material,86.43,85.3,Refractory Waste
Electric Arc Furnace,Scrap Steel,Refining,Coating Material,54.15,38.45,EAF Dust
Continuous Casting,Scrap Steel,Casting,Flux Material,75.39,60.54,Mill Scale
Cold Rolling,Scrap Steel,Finishing,Flux Material,99.17,76.89,Steel Scrap
Electric Arc Furnace,Alloy Additives,Casting,Non-Ferrous Metal,117.32,117.35,EAF Dust
Continuous Casting,Scrap Steel,Finishing,Fuel/Reductant,87.51,71.3,Steel Scrap
Hot Rolling,Limestone,Refining,Coating Material,64.14,66.38,Mill Scale
Galvanizing,Limestone,Coating,Non-Ferrous Metal,136.32,88.31,Zinc Ash
Hot Rolling,Iron Ore,Casting,Coating Material,57.61,46.09,Pickling Sludge
Continuous Casting,Zinc Coating Material,Coating,Non-Ferrous Metal,167.58,107.19,Mill Scale
Basic Oxygen Furnace,Iron Ore,Casting,Non-Ferrous Metal,63.62,80.23,Waste Gas Sludge
Forging,Limestone,Casting,Fuel/Reductant,144.78,107.04,Mill Scale
Cold Rolling,Iron Ore,Refining,Ferrous Metal,132.87,149.57,Pickling Sludge
Hot Rolling,Alloy Additives,Refining,Non-Ferrous Metal,74.92,67.61,Steel Scrap
Finishing & Grinding,Iron Ore,Coating,Coating Material,67.51,43.7,Steel Scrap
Continuous Casting,Limestone,Rolling,Fuel/Reductant,45.84,31.14,Mill Scale
Electric Arc Furnace,Limestone,Melting,Flux Material,87.8,98.03,Waste Gas Sludge
Hot Rolling,Iron Ore,Melting,Non-Ferrous Metal,64.05,56.26,Pickling Sludge
Finishing & Grinding,Zinc Coating Material,Casting,Fuel/Reductant,161.38,120.02,Pickling Sludge
Electric Arc Furnace,Alloy Additives,Finishing,Fuel/Reductant,36.63,38.82,Refractory Waste
Electric Arc Furnace,Alloy Additives,Melting,Fuel/Reductant,80.51,82.33,Steel Scrap
Hot Rolling,Alloy Additives,Coating,Fuel/Reductant,82.06,83.65,Refractory Waste
Electric Arc Furnace,Iron Ore,Casting,Fuel/Reductant,91.8,96.75,EAF Dust
Cold Rolling,Limestone,Refining,Fuel/Reductant,134.96,110.54,Pickling Sludge
Continuous Casting,Limestone,Finishing,Fuel/Reductant,126.58,128.9,Mill Scale
